,房产名称,房屋类型,房产坐落,所在小区,建筑面积,户型,朝向,所在楼层,建成年代,规划用途,单位面积价格,财产参考总价,本次网络询价时点为
0,北京市海淀区安宁华庭二区9号楼10层3单元1003:108.47(㎡),住宅用房,北京市海淀区安宁华庭二区9号楼10层3单元1003,北京市海淀区安宁华庭二区9号楼10层3单元1003,108.47㎡,2室1厅2卫,南北,10,,住宅,89006.00元/㎡,9654481.00元,2021年11月30日
1,海淀区永定路乙1号院9号楼8层902,住宅用房,北京市海淀区海淀区永定路乙1号院9号楼,海淀区永定路乙1号院9号楼,212.24㎡,4室2厅3卫,南向,8,,10住宅,68163.00元/㎡,14466915.00元,2021年01月21日
2,北京市海淀区西翠路17号院10号楼3层1单元301,住宅用房,北京市海淀区西翠路17号院10号楼3层1单元301,西翠路17号院,256.62㎡,4室2厅2卫,南北,3,,住宅,141917.00元/㎡,36418741.00元,2021年12月02日
3,北京市东城区交道口北二条35号院1号楼3层5门302号:55.13(㎡),住宅用房,北京市东城区交道口北二条35号院1号楼3层5门302号,北京市东城区交道口北二条35号院,55.13㎡,1室1厅1卫,南北,3,,住宅,103915.00元/㎡,5728834.00元,2021年01月19日
5,北京市东城区竹杆胡同3号楼2层1单元201:73.28(㎡),住宅用房,北京市东城区竹杆胡同3号楼2层1单元201,北竹杆胡同,73.28㎡,2室1厅1卫,南向,2,,住宅,103480.00元/㎡,7583014.00元,2021年08月26日
6,北京市丰台区丰葆路98号院二区4号楼-2至3层101号:427.16(㎡),住宅用房,北京市丰台区丰葆路98号院二区4号楼-2至3层101号,中海九号公馆2区,427.16㎡,7室3厅5卫,南北,0,,住宅,79976.00元/㎡,34162548.00元,2021年04月01日
7,北京市丰台区光彩路72号院6号楼1层1单元101:187.84(㎡),住宅用房,北京市丰台区光彩路72号院6号楼1层1单元101,世华水岸,187.84㎡,4室2厅3卫,南北,1,,住宅,67122.00元/㎡,12608196.00元,2021年03月09日
8,北京市丰台区南三环东路甲8号4层405:145.44(㎡),住宅用房,北京市丰台区南三环东路甲8号4层405,甲8号院,145.44㎡,3室2厅2卫,南北,4,,住宅,38681.00元/㎡,5625765.00元,2021年06月22日
9,北京市丰台区南顶路281号楼3单元605号:161.57(㎡),住宅用房,北京市丰台区南顶路281号楼3单元605号,南顶路小区,161.57㎡,3室1厅1卫,南北,6,,住宅,50032.00元/㎡,8083670.00元,2021年04月19日
10,北京市丰台区嘉园三里7号楼4层505:91.45(㎡),住宅用房,北京市丰台区嘉园三里7号楼4层505,北京市丰台区嘉园三里,91.45㎡,2室1厅1卫,西北,4,,住宅,58358.00元/㎡,5336839.00元,2021年12月24日
11,北京市丰台区太平桥西里17号楼6层602号:60.9(㎡),住宅用房,北京市丰台区太平桥西里17号楼6层602号,北京市丰台区太平桥西里17号楼6层602号,60.90㎡,1室2厅1卫,东南,6,,住宅,63022.00元/㎡,3838040.00元,2021年04月16日
12,丰台区左安门外紫芳园二区2号楼11至12层3单元1103:270.71(㎡),住宅用房,丰台区左安门外紫芳园二区2号楼11至12层3单元1103,紫芳园二区香园,270.71㎡,5室3厅3卫,南北,11,,住宅,68980.00元/㎡,18673576.00元,2020年07月24日
13,北京市丰台区康泽园14号楼18层1803:86.57(㎡),住宅用房,北京市丰台区康泽园14号楼18层1803,康泽园,86.57㎡,2室1厅1卫,东向,18,,住宅,52943.00元/㎡,4583276.00元,2021年12月01日
14,北京市丰台区建欣苑四里15号楼7单元602房,住宅用房,北京市丰台区建欣苑四里15号楼7单元602房,建欣苑,67.76㎡,2室1厅1卫,东向,6,,10住宅,34619.00元/㎡,2345783.00元,2021年01月29日
15,丰台区新发地锦程园3号楼3层11单元302号:90.74(㎡),住宅用房,丰台区新发地锦程园3号楼3层11单元302号,新发地锦程园,90.74㎡,2室1厅1卫,南北,3,,住宅,24531.00元/㎡,2225943.00元,2020年11月24日
16,北京市丰台区星河苑1号院21号楼4-702:131.76(㎡),住宅用房,北京市丰台区星河苑1号院21号楼4-702,星河苑1号院,131.76㎡,3室2厅2卫,南向,7,,住宅,74971.00元/㎡,9878179.00元,2021年12月06日
17,北京市丰台区百强大道10号楼5层1单元510:104.08(㎡),住宅用房,北京市丰台区百强大道10号楼5层1单元510,天龙华鹤A座,104.08㎡,2室1厅1卫,南向,5,,住宅,34323.00元/㎡,3572338.00元,2020年12月21日
18,北京市丰台区石榴庄南里66号院6号楼2层3单元202号:164.21(㎡),住宅用房,北京市丰台区石榴庄南里66号院6号楼2层3单元202号,世华水岸,164.21㎡,3室2厅2卫,南北,2,,住宅,67765.00元/㎡,11127691.00元,2021年06月01日
19,丰台区翠庭园8号楼2层1单元202号:115.12(㎡),住宅用房,丰台区翠庭园8号楼2层1单元202号,翠庭园,115.12㎡,3室1厅1卫,南北,2,,住宅,52543.00元/㎡,6048750.00元,2021年10月21日
20,北京市丰台区西罗园二区10号楼1层107号:57.61(㎡),住宅用房,北京市丰台区西罗园二区10号楼1层107号,西罗园,57.61㎡,2室1厅1卫,西向,1,,住宅,62566.00元/㎡,3604427.00元,2021年12月01日
21,北京市丰台区顺八条8号院一区2号楼7层711:70.33(㎡),住宅用房,北京市丰台区顺八条8号院一区2号楼7层711,顺八条8号院,70.33㎡,2室1厅1卫,西南,7,,住宅,48134.00元/㎡,3385264.00元,2020年07月13日
22,北京市丰台区骏景园北区2号楼18层1-1801:46.08(㎡),住宅用房,北京市丰台区骏景园北区2号楼18层1-1801,北京市丰台区骏景园北区,46.08㎡,1室1厅1卫,北向,18,,住宅,56594.00元/㎡,2607852.00元,2021年09月10日
23,北京市大兴区上筑家园7号楼10层2单元1004:62.9(㎡),住宅用房,北京市大兴区上筑家园7号楼10层2单元1004,上筑家园,62.90㎡,1室1厅1卫,北向,10,,住宅,60566.00元/㎡,3809601.00元,2021年09月06日
24,大兴区亦庄镇贵园东里甲4号楼4层1-401:83.69(㎡),住宅用房,大兴区亦庄镇贵园东里甲4号楼4层1-401,贵园东里,83.69㎡,2室1厅1卫,南北,4,,住宅,48732.00元/㎡,4078381.00元,2021年03月11日
25,北京市大兴区团河苑南区9号楼6-201:67.5(㎡),住宅用房,北京市大兴区团河苑南区9号楼6-201,北京市大兴区团河苑南区,67.50㎡,2室1厅1卫,南北,2,,住宅,34007.00元/㎡,2295473.00元,2021年04月20日
26,北京市大兴区开泰东里1号楼8层1单元801:127.61(㎡),住宅用房,北京市大兴区开泰东里1号楼8层1单元801,开泰东里,127.61㎡,3室2厅2卫,南北,8,,住宅,50559.00元/㎡,6451834.00元,2021年10月11日
